,iso_code,date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients
0,CAN,2020-01-23,2.0,2.0,,,,
1,CAN,2020-01-24,3.0,1.0,,,,
2,CAN,2020-01-25,3.0,0.0,,,,
3,CAN,2020-01-26,3.0,0.0,,,,
4,CAN,2020-01-27,3.0,0.0,,,,
5,CAN,2020-01-28,4.0,1.0,,,,
6,CAN,2020-01-29,4.0,0.0,,,,
7,CAN,2020-01-30,4.0,0.0,,,,
8,CAN,2020-01-31,4.0,0.0,,,,
9,CAN,2020-02-01,4.0,0.0,,,,
10,CAN,2020-02-02,4.0,0.0,,,,
11,CAN,2020-02-03,4.0,0.0,,,,
12,CAN,2020-02-04,5.0,1.0,,,,
13,CAN,2020-02-05,6.0,1.0,,,,
14,CAN,2020-02-06,6.0,0.0,,,,
15,CAN,2020-02-07,8.0,2.0,,,,
16,CAN,2020-02-08,8.0,0.0,,,,
17,CAN,2020-02-09,8.0,0.0,,,,
18,CAN,2020-02-10,9.0,1.0,,,,
19,CAN,2020-02-11,9.0,0.0,,,,
20,CAN,2020-02-12,9.0,0.0,,,,
21,CAN,2020-02-13,9.0,0.0,,,,
22,CAN,2020-02-14,9.0,0.0,,,,
23,CAN,2020-02-15,9.0,0.0,,,,
24,CAN,2020-02-16,9.0,0.0,,,,
25,CAN,2020-02-17,10.0,1.0,,,,
26,CAN,2020-02-18,10.0,0.0,,,,
27,CAN,2020-02-19,10.0,0.0,,,,
28,CAN,2020-02-20,11.0,1.0,,,,
29,CAN,2020-02-21,13.0,2.0,,,,
30,CAN,2020-02-22,14.0,1.0,,,,
31,CAN,2020-02-23,15.0,1.0,,,,
32,CAN,2020-02-24,16.0,1.0,,,,
33,CAN,2020-02-25,19.0,3.0,,,,
34,CAN,2020-02-26,20.0,1.0,,,,
35,CAN,2020-02-27,22.0,2.0,,,,
36,CAN,2020-02-28,28.0,6.0,,,,
37,CAN,2020-02-29,33.0,5.0,,,,
38,CAN,2020-03-01,38.0,5.0,,,,
39,CAN,2020-03-02,45.0,7.0,,,,
40,CAN,2020-03-03,51.0,6.0,,,,
41,CAN,2020-03-04,59.0,8.0,,,,
42,CAN,2020-03-05,71.0,12.0,,,,
43,CAN,2020-03-06,90.0,19.0,,,,
44,CAN,2020-03-07,98.0,8.0,,,,
45,CAN,2020-03-08,120.0,22.0,,,,
46,CAN,2020-03-09,144.0,24.0,1.0,1.0,,
47,CAN,2020-03-10,165.0,21.0,1.0,0.0,,
48,CAN,2020-03-11,228.0,63.0,1.0,0.0,,
49,CAN,2020-03-12,289.0,61.0,1.0,0.0,,
50,CAN,2020-03-13,386.0,97.0,1.0,0.0,,
51,CAN,2020-03-14,453.0,67.0,1.0,0.0,,
52,CAN,2020-03-15,549.0,96.0,1.0,0.0,,
53,CAN,2020-03-16,700.0,151.0,4.0,3.0,,
54,CAN,2020-03-17,854.0,154.0,6.0,2.0,,
55,CAN,2020-03-18,1097.0,243.0,11.0,5.0,,
56,CAN,2020-03-19,1349.0,252.0,12.0,1.0,,
