,pruid,prename,report_date,numtotal_all_administered,as_of_date,numtotal_dose1_administered,numtotal_dose2_administered,numtotal_dose3_administered,numtotal_dose4_administered,updated
0,1,Canada,2021-01-19,685801,2021-01-19,253039,16193,0,0.0,1
1,1,Canada,2021-01-20,727355,2021-01-20,259348,20119,0,0.0,1
2,1,Canada,2021-01-21,766466,2021-01-21,264637,27218,0,0.0,1
3,1,Canada,2021-01-22,799783,2021-01-22,267072,31526,0,0.0,1
4,1,Canada,2021-01-23,817229,2021-01-23,268561,34012,0,0.0,1
5,1,Canada,2021-01-24,833055,2021-01-24,269409,38204,0,0.0,1
6,1,Canada,2021-01-25,855883,2021-01-25,271758,44543,0,0.0,1
7,1,Canada,2021-01-26,883878,2021-01-26,274154,51344,0,0.0,1
8,1,Canada,2021-01-27,909498,2021-01-27,279346,58415,0,0.0,1
9,1,Canada,2021-01-28,936032,2021-01-28,285653,65849,0,0.0,1
10,1,Canada,2021-01-29,955389,2021-01-29,287828,72074,0,0.0,1
11,1,Canada,2021-01-31,966089,2021-01-31,289047,73714,0,0.0,1
12,1,Canada,2021-02-01,980843,2021-02-01,289306,75222,0,0.0,1
13,1,Canada,2021-02-02,994410,2021-02-02,290183,77917,0,0.0,1
14,1,Canada,2021-02-03,1008727,2021-02-03,291333,82015,0,0.0,1
15,1,Canada,2021-02-04,1032043,2021-02-04,293778,90531,0,0.0,1
16,1,Canada,2021-02-05,1054678,2021-02-05,294740,97063,0,0.0,1
17,1,Canada,2021-02-07,1082315,2021-02-07,296026,105453,0,0.0,1
18,1,Canada,2021-02-08,1122568,2021-02-08,303559,126894,0,0.0,1
19,1,Canada,2021-02-09,1146993,2021-02-09,307914,137061,0,0.0,1
20,1,Canada,2021-02-10,1183514,2021-02-10,311257,149032,0,0.0,1
21,1,Canada,2021-02-11,1219083,2021-02-11,313160,165002,0,0.0,1
22,1,Canada,2021-02-12,1253820,2021-02-12,314924,178441,0,0.0,1
