_id,report_date,previous_day_total_doses_administered,previous_day_at_least_one,previous_day_fully_vaccinated,previous_day_3doses,total_doses_administered,total_individuals_at_least_one,total_individuals_partially_vaccinated,total_doses_in_fully_vaccinated_individuals,total_individuals_fully_vaccinated,total_individuals_3doses
2820,2021-01-01T00:00:00,6256,6246,2,,32275,32218,32207,22,11,
2821,2021-01-02T00:00:00,4618,4606,6,,36893,36772,36759,26,13,
2822,2021-01-03T00:00:00,5400,5392,4,,42293,42162,42147,30,15,
2823,2021-01-04T00:00:00,5998,5995,0,,48291,48156,48142,28,14,
2824,2021-01-05T00:00:00,9693,9668,21,,57984,57822,57788,68,34,
2825,2021-01-06T00:00:00,12803,12337,451,,70787,70156,69674,964,482,
2826,2021-01-07T00:00:00,16232,15518,700,,87019,85673,84491,2364,1182,
2827,2021-01-08T00:00:00,18052,17034,1005,,105071,102707,100520,4374,2187,
2828,2021-01-09T00:00:00,19522,18441,1068,,124593,121146,117892,6508,3254,
2829,2021-01-10T00:00:00,11380,11338,40,,135973,132475,129182,6586,3293,
2830,2021-01-11T00:00:00,11720,11667,50,,147693,144141,140798,6686,3343,
2831,2021-01-12T00:00:00,14489,14179,301,,162182,158311,154668,7286,3643,
2832,2021-01-13T00:00:00,15451,13822,1598,,177633,172119,166880,10478,5239,
2833,2021-01-14T00:00:00,19204,16748,2439,,196837,188861,181184,15354,7677,
2834,2021-01-15T00:00:00,20099,18040,2039,,216936,206890,197174,19432,9716,
2835,2021-01-16T00:00:00,17128,15941,1173,,234064,222815,211926,21778,10889,
2836,2021-01-17T00:00:00,11275,10031,1237,,245339,232831,220707,24248,12124,
2837,2021-01-18T00:00:00,6809,6724,75,,252148,239531,227336,24390,12195,
2838,2021-01-19T00:00:00,11842,9732,2096,,263990,249242,234951,28582,14291,
2839,2021-01-20T00:00:00,10821,7230,3574,,274811,256449,238585,35728,17864,
2840,2021-01-21T00:00:00,10992,6866,4098,,285803,263299,241337,43924,21962,
2841,2021-01-22T00:00:00,9057,4337,4699,,294860,267599,240940,53318,26659,
2842,2021-01-23T00:00:00,7491,3070,4393,,302351,270639,239588,62102,31051,
2843,2021-01-24T00:00:00,4409,1846,2542,,306760,272467,238874,67186,33593,
2844,2021-01-25T00:00:00,5338,1062,4267,,312098,273497,235638,75718,37859,
2845,2021-01-26T00:00:00,9431,2898,6504,,321529,276363,232001,88724,44362,
2846,2021-01-27T00:00:00,9915,2875,7011,,331444,279209,227837,102744,51372,
2847,2021-01-28T00:00:00,13155,5771,7340,,344599,284947,226235,117424,58712,
2848,2021-01-29T00:00:00,10753,3336,7380,,355352,288252,222161,132182,66091,
2849,2021-01-30T00:00:00,9229,2758,6432,,364581,290967,218448,145038,72519,
2850,2021-01-31T00:00:00,3405,1586,1770,,367986,292519,218231,148576,74288,
2851,2021-02-01T00:00:00,2139,499,1611,,370125,292983,217089,151788,75894,
2852,2021-02-02T00:00:00,4440,1380,3001,,374565,294325,215434,157782,78891,
2853,2021-02-03T00:00:00,6277,1752,4462,,380842,296036,212690,166692,83346,
2854,2021-02-04T00:00:00,9125,1747,7296,,389967,297740,207104,181272,90636,
2855,2021-02-05T00:00:00,8491,1500,6909,,398458,299200,201661,195078,97539,
2856,2021-02-06T00:00:00,10694,1892,8741,,409152,301037,194766,212542,106271,
2857,2021-02-07T00:00:00,7599,1744,5798,,416751,302741,190684,224114,112057,
2858,2021-02-08T00:00:00,8234,3101,5084,,424985,305794,188666,234256,117128,
