"REF_DATE","GEO","DGUID","Estimate","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2113127","B","","","0"
"2020-02","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2116226","B","","","0"
"2020-03","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2048785","B","","","0"
"2020-04","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","1896291","B","","","0"
"2020-05","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","1847387","B","","","0"
"2020-06","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","1917673","A","","","0"
"2020-07","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2000404","B","","","0"
"2020-08","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2026551","A","","","0"
"2020-09","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2056447","A","","","0"
"2020-10","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2070560","A","","","0"
"2020-11","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2083162","A","","","0"
"2020-12","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2095798","A","","","0"
"2021-01","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2101878","A","","","0"
"2021-02","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2113023","A","","","0"
"2021-03","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2125014","A","","","0"
"2021-04","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2152804","A","","","0"
"2021-05","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2149836","A","","","0"
"2021-06","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2156794","A","","","0"
"2021-07","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2173802","A","","","0"
"2021-08","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2173276","A","","","0"
"2021-09","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2171499","A","","","0"
"2021-10","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2174702","A","","","0"
"2021-11","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2176045","A","","","0"
"2021-12","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2187972","A","","","0"
"2022-01","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2192339","B","","","0"
"2022-02","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2217764","B","","","0"
"2022-03","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2218204","B","","","0"
"2022-04","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2221424","B","","","0"
"2022-05","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2218275","B","","","0"
