Date,Year,Month,MY10Y,CPI,CSENT,IPM,HOUSE,UNEMP,SP500
1950-01-31,1950,1,,23.51,,,,6.5,17.049999237060547
1950-02-28,1950,2,,23.61,,,,6.4,17.219999313354492
1950-03-31,1950,3,,23.64,,,,6.3,17.290000915527344
1950-04-30,1950,4,,23.65,,,,5.8,17.959999084472656
1950-05-31,1950,5,,23.77,,,,5.5,18.780000686645508
1950-06-30,1950,6,,23.88,,,,5.4,17.690000534057617
1950-07-31,1950,7,,24.07,,,,5.0,17.84000015258789
1950-08-31,1950,8,,24.2,,,,4.5,18.420000076293945
1950-09-30,1950,9,,24.34,,,,4.4,19.450000762939453
1950-10-31,1950,10,,24.5,,,,4.2,19.530000686645508
1950-11-30,1950,11,,24.6,,,,4.2,19.510000228881836
1950-12-31,1950,12,,24.98,,,,4.3,20.43000030517578
1951-01-31,1951,1,,25.38,,,,3.7,21.65999984741211
1951-02-28,1951,2,,25.83,,,,3.4,21.799999237060547
1951-03-31,1951,3,,25.88,,,,3.4,21.479999542236328
1951-04-30,1951,4,,25.92,,,,3.1,22.43000030517578
1951-05-31,1951,5,,25.99,,,,3.0,21.520000457763672
1951-06-30,1951,6,,25.93,,,,3.2,20.959999084472656
1951-07-31,1951,7,,25.91,,,,3.1,22.399999618530273
1951-08-31,1951,8,,25.86,,,,3.1,23.280000686645508
1951-09-30,1951,9,,26.03,,,,3.3,23.260000228881836
1951-10-31,1951,10,,26.16,,,,3.5,22.940000534057617
1951-11-30,1951,11,,26.32,,,,3.5,22.8799991607666
1951-12-31,1951,12,,26.47,,,,3.1,23.770000457763672
1952-01-31,1952,1,,26.45,,,,3.2,24.139999389648438
1952-02-29,1952,2,,26.41,,,,3.1,23.260000228881836
1952-03-31,1952,3,,26.39,,,,2.9,24.3700008392334
1952-04-30,1952,4,,26.46,,,,2.9,23.31999969482422
1952-05-31,1952,5,,26.47,,,,3.0,23.860000610351562
1952-06-30,1952,6,,26.53,,,,3.0,24.959999084472656
1952-07-31,1952,7,,26.68,,,,3.2,25.399999618530273
